u	v	length	name
26449371	33393081	57.9659786265299	Nesbali
26449371	33393045	85.21149342212985	Nesbali
26449375	33393084	58.19234261167476	Nesbali
26449379	33393091	73.20994316983128	Nesbali
26449387	33393098	104.3500807129235	Nesbali
26449395	33393132	102.74368433562856	Nesbali
26449400	33393140	101.6667848693277	Nesbali
26449410	33393146	163.56329026636462	Neströð
26449413	26449359	45.24340525811726	Nesbali
26449748	26452718	16.71561251026879	Fornaströnd
26449748	537385962	234.85742688692704	Norðurströnd
26449748	33393270	331.75285508489367	Norðurströnd
26449755	5830365204	78.48692836187725	Norðurströnd
26449755	33393153	114.33882079109857	Lindarbraut
26449755	33393270	506.18867917821143	Norðurströnd
26449759	5830365204	154.56362747686416	Norðurströnd
26449759	26449762	180.30745863921058	Norðurströnd
26449759	26449807	197.03466301004704	Sefgarðar
26449762	26449759	180.30745863921055	Norðurströnd
26449762	26449829	159.4027325817868	Bygggarðar
26449762	26449786	365.5274399447756	Norðurströnd
26449786	26449786	83.72178665930404	Norðurströnd
26449786	26449762	365.5274399447757	Norðurströnd
26449807	26449807	248.15069333242414	Sefgarðar
26449807	26449807	248.1506933324242	Sefgarðar
26449807	26449759	197.03466301004704	Sefgarðar
26449829	26449762	159.4027325817868	Bygggarðar
26449886	33393132	76.67222068138719	Nesbali
26449886	7371561062	103.82434283077998	Lindarbraut
26449886	33393268	214.15674621700913	Lindarbraut
26452391	27468990	90.2914853247249	Steinavör
26452392	26452393	51.87595392948524	Hrólfsskálavör
26452392	27468990	146.34871469210336	Suðurströnd
26452392	33393225	63.73398111651444	Suðurströnd
26452393	26452392	51.87595392948524	Hrólfsskálavör
26452393	26452394	50.01045588828542	Hrólfsskálavör
26452393	26452397	138.99095743775666	Hrólfsskálavör
26452394	26452393	50.01045588828542	Hrólfsskálavör
26452397	26452393	138.99095743775666	Hrólfsskálavör
26452404	6600290608	35.882612265941795	Bakkavör
26452404	33393197	55.60834835917322	Bakkavör
26452404	26452405	63.175759500348114	Bakkavör
26452405	26452404	63.175759500348114	Bakkavör
26452406	33393159	59.91112373580247	Bakkavör
26452406	6600290608	48.33785289717189	Bakkavör
26452406	26452407	55.57781649337752	Bakkavör
26452407	26452406	55.57781649337752	Bakkavör
26452408	33393159	23.9141521123012	Bakkavör
26452408	26452413	117.50700635964077	['Valhúsabraut', 'Bakkavör']
26452408	26452409	37.03384486844886	Bakkavör
26452409	26452408	37.03384486844886	Bakkavör
26452413	26452414	58.1107631524647	Valhúsabraut
26452413	26452417	81.36564257781998	Valhúsabraut
26452413	26452408	117.50700635964077	['Valhúsabraut', 'Bakkavör']
26452414	26452413	58.1107631524647	Valhúsabraut
26452417	26452418	55.804680568449974	Valhúsabraut
26452417	26452420	45.578371111046344	Valhúsabraut
26452417	26452413	81.36564257781998	Valhúsabraut
26452418	26452417	55.80468056844997	Valhúsabraut
26452420	26452432	82.16548787797733	Hæðarbraut
26452420	26452425	232.8560416826125	Valhúsabraut
26452420	26452417	45.57837111104634	Valhúsabraut
26452425	26452420	232.8560416826125	Valhúsabraut
26452432	26452420	82.16548787797733	Hæðarbraut
26452432	1124107048	242.94570812055494	Melabraut
26452432	26452443	73.94399743941798	Hæðarbraut
26452439	26452443	242.8250453754668	Miðbraut
26452439	1124107048	73.10593254629518	Melabraut
26452439	26452442	314.3196534671843	['Vallarbraut', 'Melabraut']
26452442	26452443	70.90152288254568	Hæðarbraut
26452442	26452446	113.92458203777909	Vallarbraut
26452442	26770050	74.41164224837333	Hæðarbraut
26452442	26452439	314.3196534671843	['Vallarbraut', 'Melabraut']
26452443	26452439	242.8250453754668	Miðbraut
26452443	26452442	70.90152288254568	Hæðarbraut
26452443	26452456	272.06457017173693	Miðbraut
26452443	26452432	73.94399743941798	Hæðarbraut
26452446	26452442	113.92458203777909	Vallarbraut
26452446	26452447	8.01114766024551	Vallarbraut
26452446	26452448	8.760955562129835	Vallarbraut
26452447	26452446	8.01114766024551	Vallarbraut
26452448	26452446	8.760955562129835	Vallarbraut
26452456	537396556	10.556533893396905	Miðbraut
26452456	26452443	272.06457017173693	Miðbraut
26452456	26452459	37.764852663840585	
26452456	26452461	73.065480102138	
26452459	26452456	37.764852663840585	
26452461	26452462	324.969383301387	Unnarbraut
26452461	26452462	92.44897159139485	
26452461	26452456	73.065480102138	
26452462	26452461	324.9693833013869	Unnarbraut
26452462	26452461	92.44897159139487	
26452626	26452630	42.50061930769108	Skólabraut
26452630	26452652	76.3553870722226	Skólabraut
26452630	26452626	42.50061930769108	Skólabraut
